Date,Oil_Price
2018-02-28,66.08
2018-03-01,64.23
2018-03-02,64.26
2018-03-05,65.78
2018-03-06,65.67
2018-03-07,65.09
2018-03-08,63.87
2018-03-09,65.19
2018-03-12,64.53
2018-03-13,64.20
2018-03-14,63.61
2018-03-15,63.67
2018-03-16,64.68
2018-03-19,64.82
2018-03-20,66.00
2018-03-21,68.15
2018-03-22,68.98
2018-03-23,69.03
2018-03-26,68.81
2018-03-27,68.63
2018-03-28,68.13
2018-03-29,69.02
2018-03-30,#N/A
2018-04-02,69.02
2018-04-02,#N/A
2018-04-03,69.02
2018-04-04,66.04
2018-04-05,66.54
2018-04-06,66.51
2018-04-09,68.19
2018-04-10,70.67
2018-04-11,72.74
2018-04-12,71.44
2018-04-13,73.18
2018-04-16,73.18
2018-04-16,72.05
2018-04-17,71.71
2018-04-18,73.73
2018-04-19,74.85
2018-04-20,74.62
2018-04-23,74.54
2018-04-24,75.86
2018-04-25,73.79
2018-04-26,75.39
2018-04-27,75.33
2018-04-30,75.92
2018-05-01,74.85
2018-05-02,73.14
2018-05-03,73.45
2018-05-04,74.75
2018-05-07,74.75
2018-05-07,#N/A
2018-05-08,74.16
2018-05-09,77.60
2018-05-10,77.59
2018-05-11,77.37
2018-05-14,78.17
2018-05-15,78.94
2018-05-16,78.19
2018-05-17,80.09
2018-05-18,78.38
2018-05-21,78.34
2018-05-22,80.42
2018-05-23,78.69
2018-05-24,78.90
2018-05-25,76.60
2018-05-28,#N/A
2018-05-29,74.51
2018-05-30,75.89
2018-05-31,76.45
2018-06-01,74.54
2018-06-04,73.41
2018-06-05,72.91
2018-06-06,73.23
2018-06-07,75.23
2018-06-08,75.11
2018-06-11,74.58
2018-06-12,74.86
2018-06-13,75.07
2018-06-14,74.77
2018-06-15,72.02
2018-06-18,74.87
2018-06-19,74.92
2018-06-20,74.25
2018-06-21,72.87
2018-06-22,73.67
2018-06-25,72.82
2018-06-26,73.58
2018-06-27,76.09
2018-06-28,76.26
2018-06-29,77.44
2018-07-02,76.71
2018-07-03,75.87
2018-07-04,76.99
2018-07-05,77.09
2018-07-06,74.98
2018-07-09,77.08
2018-07-10,77.80
2018-07-11,75.35
2018-07-12,72.11
2018-07-13,74.11
2018-07-16,71.03
2018-07-17,70.87
2018-07-18,70.52
2018-07-19,71.94
2018-07-20,71.99
2018-07-23,73.45
2018-07-24,73.53
2018-07-25,73.67
2018-07-26,74.51
2018-07-27,74.84
2018-07-30,74.99
2018-07-31,74.16
2018-08-01,72.28
2018-08-02,72.95
2018-08-03,72.48
2018-08-06,72.51
2018-08-07,72.31
2018-08-08,70.71
2018-08-09,70.55
2018-08-10,71.00
2018-08-13,70.62
2018-08-14,70.77
2018-08-15,68.38
2018-08-16,69.21
2018-08-17,70.14
2018-08-20,71.11
2018-08-21,71.65
2018-08-22,72.96
2018-08-23,73.73
2018-08-24,74.41
2018-08-27,74.41
2018-08-27,#N/A
2018-08-27,74.41
2018-08-28,75.91
2018-08-29,76.07
2018-08-30,77.05
2018-08-31,76.94
2018-09-03,77.81
2018-09-04,77.51
2018-09-05,76.68
2018-09-06,75.67
2018-09-07,75.55
2018-09-10,76.77
2018-09-11,78.22
2018-09-12,80.02
2018-09-13,77.66
2018-09-14,77.87
2018-09-17,78.22
2018-09-18,79.25
2018-09-19,79.43
