,hourly weight to day
4,0.0278455023739253
6,0.0452542880362718
17,0.0459814363317507
18,0.048989834181673
22,0.040378117113649
31,0.0503427723476533
36,0.0381157945082841
37,0.0395138641910204
48,0.0316218553135422
62,0.0421007123152303
64,0.0445608761889076
66,0.0493679746366368
67,0.0477930580145757
70,0.0412566393543871
74,0.0351875219792722
98,0.0384390946450964
122,0.0285629826700661
124,0.0282489007131507
127,0.0503085393341462
146,0.0307384841222818
151,0.0502020639707117
153,0.0544821060636877
154,0.0485837835925824
155,0.0424113261940344
156,0.0397495644791878
159,0.0437289424581944
162,0.0579220572499845
168,0.0303749448610498
169,0.0309572121746802
172,0.0304190560211733
173,0.0300661667401852
188,0.0425143361270401
194,0.0320033423856277
196,0.0302820137873407
202,0.0500772926676415
208,0.0463254648005013
209,0.0527595571339043
212,0.0396574054731564
216,0.0344278200480008
218,0.031976714497268
221,0.0335392942858601
223,0.0471327171526323
230,0.0432415870908441
231,0.0448756574579992
233,0.050645968442016
240,0.0375645475323795
241,0.0365275543892322
243,0.0361148734445102
245,0.0357021924997883
250,0.0496698552442224
251,0.0507915008888512
252,0.0485905358503343
258,0.0480826208414458
260,0.0411199525945991
271,-0.0178940873289535
276,0.0474755907226598
278,0.0388370658052339
281,0.10395266959457
295,0.0520334700407582
316,0.0337092837303257
319,0.0486701456106388
321,0.0500378755996969
322,0.0463029206295766
325,0.0382964396936284
335,0.0336040737311674
339,0.0364919249464276
345,0.057534103381592
350,0.0385093816965452
352,0.0441227199080123
355,0.0428474363664872
366,0.0373523958231677
379,0.0578218015028788
381,0.0487947692007416
382,0.046452620279106
387,0.0333092634619352
390,0.0422323086445223
393,0.0484320198060656
394,0.046977511863008
397,0.0362079636888797
406,0.0429956674231483
408,0.0383303806412632
413,0.0346745041013404
415,0.038924332572119
416,0.0436349858168375
426,0.050967219997747
427,0.0502606220110393
436,0.0385351406766146
439,0.0382275885636177
441,0.0403462808975965
449,0.0482515092835174
455,0.0384667957626153
457,0.0277984858274108
459,0.0281132481818332
463,0.0480012590494176
479,0.0338783691996752
487,0.0510104399384986
499,0.0506451695109623
505,0.0330181533004785
506,0.0327775351792605
513,0.0539073709351133
518,0.0395683132669702
521,0.0493980091078414
533,0.0369254022513774
548,0.0402734694236227
555,0.0349462112584589
560,0.059322911274459
570,0.050795772195503
571,0.0460521981383354
577,0.0608603311108403
578,0.0575875215430949
580,0.0543495290984106
587,0.0059189109203906
591,0.0061452222202879
595,0.0644987204707275
604,0.0398628528040432
606,0.0382612203253093
617,0.0498997496707755
620,0.047384593481949
624,0.028230087705993
631,0.0618581536237832
634,0.0380981272138402
637,0.0356355784758964
640,0.0401502511621267
644,0.0552467455990863
650,0.0322788010731029
651,0.0323045144037507
657,0.0443726375877467
662,0.03712147834509
686,0.0359313866354251
692,0.0429938769645659
697,0.0416533651644065
702,0.0441378544561189
703,0.0553388760114924
704,0.0551723180701486
