,hourly weight to day
26234,0.0403200289291687
15060,0.0392386740199303
8175,0.0484535058704901
16381,0.042762331838565
12890,0.0353682975707512
32717,0.0422498374360241
14469,0.034262572800449
6069,0.0221428427817951
26050,0.0422614467655063
16481,0.0454451238470307
26700,0.0373884505050023
6745,0.0293792125337168
13544,0.0421558003732466
11589,0.0343261986728533
11336,0.0389782085037252
12510,0.0433881694084704
24643,0.048951729507285
8898,0.0478492249773419
13542,0.0468213834206248
21282,-0.0821538210763671
25216,0.0352606256347079
6799,0.0418259043896397
14868,0.0520347179692944
1717,0.0261089314884883
14883,0.0485840624705993
18053,0.0005523336095001
34428,0.0514022739577693
20966,0.0484420779806175
17238,0.0432740773524132
14380,0.037785712277545
32446,0.0273127709551027
34552,0.0608457335205918
7099,0.0377286748639732
20282,0.0358285062509784
16671,0.0528337422248655
21774,0.03272078265468
275,0.04246669812348
3331,0.0477178812922614
8450,0.032323600480568
15339,0.0375784498566595
1884,0.0356074707715474
25813,0.0495946323734973
1379,0.0417181672008138
25810,0.0424777347338152
14163,0.0427265543239144
28760,0.0342908378441204
33908,0.0225561050364596
6473,0.0660184591940986
5559,0.035497265545878
28093,0.0422670150553689
9511,0.0003260515161395
10385,0.0437108216658533
19072,0.067571201058967
8759,0.0316594950634303
10114,0.0418795593490652
27182,0.0682217833567795
21485,0.0415155499138634
29890,0.0401856751866299
872,0.0521378054602582
21090,0.0511072460167096
7698,0.0450587853823151
69,0.0412360522090007
4807,0.0385629725136259
19397,0.0500998702716059
33466,0.0493963505361872
23881,0.0372256952483856
9154,0.0378424894026156
31024,0.062858603456046
12231,0.054462386385612
15827,0.0476844110575923
23393,0.0416505820922814
27225,0.0376968673394931
34218,0.0241799872431721
683,0.0346714118349212
22775,0.0351542408765235
30163,0.046844181459566
28915,0.0426670635511236
33081,0.0375478574913096
7703,0.0357613480247848
12819,0.0398367104027376
30578,0.057336068368894
25405,0.0664520106871274
27512,0.0409314823107926
23637,0.0257626636817511
31079,0.0332884753952443
15725,0.0417025032818795
19950,0.0596457975478291
4226,0.0353708453442888
13019,0.0379288890937161
7767,0.0426083952577304
22126,0.0315834544614587
1089,0.1026392961876832
33924,0.0563409642474326
1321,0.0351282643864109
4761,0.0453303616363505
19982,0.0472903455113455
23508,0.0439872767074247
8343,0.0594613983775729
27989,0.0392979093033007
7246,0.0338550063245616
20366,0.0469289024066627
10774,0.027663836687971
22732,0.0561770877501984
19846,0.0324690084450894
23232,0.0284615074729081
