Ratio Spot Daily,Ratio Spot Monthly,Daytype,Month,Year,Day of Week,Total (grid load)[MWh],Wind offshore[MWh],Wind onshore[MWh],Photovoltaics[MWh],Nuclear[MWh],Other renewable[MWh]
0.7359492732737679,0.7426130535827892,Friday,2,2018,4,13449,340,4578,0,2265.25,61
0.7347140445505826,0.7413666402669402,Friday,2,2018,4,13396,296,4475,0,2193.25,61
0.7436076913575165,0.7503408161410525,Friday,2,2018,4,13593,321,4466,0,2172.75,61
0.8145098200683494,0.8218849404707808,Friday,2,2018,4,14185,349,4317,0,2181.75,61
0.9239510849425618,0.9323171602549954,Friday,2,2018,4,15479,366,4258,0,2240.75,61
1.1312224646930458,1.1414653146544451,Friday,2,2018,4,17360,332,3992,0,2306.0,61
1.203606867871701,1.214505134963192,Friday,2,2018,4,18192,411,3852,42,2328.0,61
1.1848313912792854,1.1955596525622885,Friday,2,2018,4,18278,522,3450,494,2344.75,61
1.184337299790011,1.1950610872359488,Friday,2,2018,4,18478,634,3145,1190,2344.25,60
1.163338411495862,1.1738720608665172,Friday,2,2018,4,18575,715,2970,1787,2341.5,60
1.1092353934203483,1.1192791576323342,Friday,2,2018,4,18448,800,2830,1975,2342.5,61
1.0116523242887143,1.0208125056802693,Friday,2,2018,4,18157,838,2713,1696,2343.75,61
1.010417095565529,1.01956609236442,Friday,2,2018,4,17706,941,2529,1250,2342.75,60
1.0156050562029069,1.0248010282909856,Friday,2,2018,4,17499,962,2447,847,2341.0,60
1.0694610285337836,1.079144648861999,Friday,2,2018,4,17219,966,2397,307,2338.5,61
1.1863136657471076,1.1970553485413071,Friday,2,2018,4,17467,914,2474,5,2323.25,61
1.1848313912792854,1.1955596525622885,Friday,2,2018,4,18014,834,2559,0,2340.5,61
1.1470333923498168,1.1574194050973112,Friday,2,2018,4,17610,710,2601,0,2341.5,61
1.071931485980154,1.0816374754936966,Friday,2,2018,4,16764,650,2522,0,2337.75,61
0.9896652530160169,0.9986263486581584,Friday,2,2018,4,15867,491,2360,0,2341.25,61
0.9901593445052909,0.9991249139844979,Friday,2,2018,4,15291,323,2189,0,2338.5,61
0.8913410466504714,0.8994118487165839,Friday,2,2018,4,14380,258,1915,0,2344.25,61
0.8785089261703315,0.8822113449578688,Saturday,2,2018,5,13345,202,1703,0,2340.0,61
0.8449970004757865,0.8485581854299478,Saturday,2,2018,5,12668,208,1539,0,2326.5,60
0.844500527502534,0.8480596201036082,Saturday,2,2018,5,12213,181,1435,0,2325.75,60
0.8462381829089178,0.8498045987457968,Saturday,2,2018,5,12115,156,1429,0,2309.75,60
0.8373016693903724,0.8408304228716844,Saturday,2,2018,5,12220,141,1461,0,2322.0,60
0.8516993856146956,0.8552888173355321,Saturday,2,2018,5,12252,143,1385,0,2324.75,60
0.8427628720961502,0.8463146414614198,Saturday,2,2018,5,12241,143,1244,0,2329.0,61
0.8526923315612006,0.8562859479882111,Saturday,2,2018,5,12939,198,1075,0,2323.0,61
1.039614405990774,1.0439957933550592,Saturday,2,2018,5,13868,179,888,17,2336.5,61
1.1282348317163484,1.1329897041066723,Saturday,2,2018,5,14697,186,722,260,2345.5,61
1.1379160546947724,1.142711727970294,Saturday,2,2018,5,15178,145,639,647,2350.5,61
1.1686973790364286,1.1736227782033473,Saturday,2,2018,5,15291,130,605,1025,2351.5,61
1.1495831695662067,1.154428013139274,Saturday,2,2018,5,15314,170,617,1244,2350.5,61
1.0852899195300054,1.0898638033782995,Saturday,2,2018,5,15091,169,643,1254,2353.0,61
0.9922012370451582,0.9963828046896303,Saturday,2,2018,5,14624,165,627,966,2353.5,61
0.9711011356819261,0.9751937783201985,Saturday,2,2018,5,14414,218,604,594,2352.75,61
1.0167766492211578,1.021061788343439,Saturday,2,2018,5,14321,227,529,244,2348.75,61
1.1761444736352165,1.1811012580984408,Saturday,2,2018,5,14679,249,573,4,2336.5,61
1.2545872034091143,1.2598745796600928,Saturday,2,2018,5,15715,400,558,0,2343.25,61
1.2406859601580438,1.245914750522585,Saturday,2,2018,5,15437,443,610,0,2348.25,61
1.0366355681512587,1.0410044013970217,Saturday,2,2018,5,14616,480,655,0,2348.0,61
0.9549657640512194,0.9589904052141625,Saturday,2,2018,5,13831,579,699,0,2353.25,61
0.9703564262220475,0.9744459303306893,Saturday,2,2018,5,13615,658,729,0,2350.75,61
0.8785089261703315,0.8822113449578688,Saturday,2,2018,5,13075,742,790,0,2336.0,61
0.9541238841364242,0.7982030874696513,Sunday,2,2018,6,12429,736,888,0,2338.0,61
0.9326695057298587,0.7802547357214268,Sunday,2,2018,6,11861,820,1046,0,2340.5,61
0.9225382714823139,0.7717791251736541,Sunday,2,2018,6,11417,909,1054,0,2338.75,61
0.9234322039159207,0.7725269731631633,Sunday,2,2018,6,11356,946,1096,0,2339.25,61
0.9186645642700173,0.7685384505524467,Sunday,2,2018,6,11373,1012,1091,0,2339.75,61
0.9174726543585415,0.7675413198997677,Sunday,2,2018,6,11382,1062,1192,0,2323.75,61
0.9189625417478864,0.7687877332156167,Sunday,2,2018,6,11059,1121,1243,0,2319.75,62
0.9305836633847759,0.7785097570792382,Sunday,2,2018,6,11419,1136,1273,0,2319.25,62
0.9347553480749415,0.7819997143636153,Sunday,2,2018,6,12050,1150,1379,38,2323.0,61
0.964851073339707,0.8071772633437636,Sunday,2,2018,6,13091,1143,1559,311,2332.25,61
0.9863054517462724,0.825125615091988,Sunday,2,2018,6,13837,1133,1544,660,2332.5,61
1.0262344337807134,0.8585294919567391,Sunday,2,2018,6,14429,1138,1592,978,2329.0,61
0.9952447760823412,0.8326040949870815,Sunday,2,2018,6,14695,1119,1783,1178,2332.0,61
0.9559117490036378,0.79969878344867,Sunday,2,2018,6,14365,1092,1846,1229,2331.75,61
0.9419068075437966,0.78798249827969,Sunday,2,2018,6,13920,1049,1748,1049,2335.75,61
0.956209726481507,0.7999480661118398,Sunday,2,2018,6,13699,1031,1699,789,2335.0,61
1.0205728617012033,0.8537931213565133,Sunday,2,2018,6,13596,976,1699,314,2341.0,61
1.1832685646176577,0.9899014554472159,Sunday,2,2018,6,14163,936,1790,10,2336.0,61
1.2786213575357264,1.0696719076615469,Sunday,2,2018,6,15335,950,1890,0,2345.75,61
1.1922078889537266,0.9973799353423093,Sunday,2,2018,6,15247,941,2110,0,2350.25,61
1.0771885824963063,0.9011568273587723,Sunday,2,2018,6,14710,857,2134,0,2351.5,61
1.0429211725413756,0.8724893210942471,Sunday,2,2018,6,14101,811,2147,0,2351.5,61
1.0444110599307204,0.873735734410096,Sunday,2,2018,6,14298,771,2204,0,2348.5,61
0.980941857144631,0.8206385271549319,Sunday,2,2018,6,13653,698,2167,0,2352.75,61
0.7125595831947679,0.8011944794276886,Monday,2,2018,0,13116,663,2022,0,2352.75,61
0.6912759117614455,0.7772633437633893,Monday,2,2018,0,12574,577,1929,0,2354.5,61
0.6855115840815875,0.770781994520975,Monday,2,2018,0,12298,606,1919,0,2351.75,61
0.6857332889923512,0.7710312771841447,Monday,2,2018,0,12349,520,1903,0,2350.25,61
0.6779736171156191,0.7623063839732022,Monday,2,2018,0,12641,583,1856,0,2339.0,61
0.7464804345416252,0.8393347268926658,Monday,2,2018,0,13357,594,1816,0,2336.0,61
0.9180800354727857,1.0322795081860792,Monday,2,2018,0,14992,604,1844,0,2327.25,61
1.20740494401951,1.3575933836226486,Monday,2,2018,0,17017,535,1805,0,2351.25,61
1.2872187118944687,1.4473351423637713,Monday,2,2018,0,17838,502,1855,87,2350.5,61
1.2663784502826738,1.4239025720258112,Monday,2,2018,0,18065,462,1712,627,2357.5,61
1.1980933377674317,1.3471235117695175,Monday,2,2018,0,18392,428,1605,1405,2357.5,61
1.1502050770424566,1.293278456524844,Monday,2,2018,0,18405,347,1578,1947,2357.75,61
1.0522115064848687,1.183095519403799,Monday,2,2018,0,18292,290,1602,2376,2355.5,61
1.0094224587074605,1.1349839654120306,Monday,2,2018,0,18165,228,1551,2498,2358.5,61
1.0397960314820973,1.169135690266291,Monday,2,2018,0,17971,197,1440,2127,2357.0,61
1.081254849794923,1.215751548279041,Monday,2,2018,0,17702,176,1453,1514,2360.0,61
1.1839042234785502,1.3311694213266514,Monday,2,2018,0,17426,157,1470,664,2356.5,61
1.262166056978162,1.4191662014255855,Monday,2,2018,0,17621,172,1679,32,2351.75,61
1.3078372685954995,1.4705184300385612,Monday,2,2018,0,18690,183,1902,0,2357.75,61
1.2284669105420685,1.381275236623778,Monday,2,2018,0,18490,170,2129,0,2358.5,61
1.058640948897018,1.190324716635723,Monday,2,2018,0,17746,152,2136,0,2360.0,61
0.8861545283228024,0.9963828046896303,Monday,2,2018,0,16688,185,2117,0,2362.0,61
0.8646491519787164,0.972202386362161,Monday,2,2018,0,16067,209,1989,0,2351.5,61
0.798581088571112,0.8979161527375653,Monday,2,2018,0,15221,146,1830,0,2354.5,61
0.7665873738758257,0.900408979369263,Tuesday-Thursday,2,2018,1,14226,149,1742,0,2353.75,61
0.7428172227478932,0.8724893210942471,Tuesday-Thursday,2,2018,1,13602,163,1629,0,2354.25,61
0.7377236189347647,0.8665065371781723,Tuesday-Thursday,2,2018,1,13352,123,1601,0,2354.0,61
0.7508820954520132,0.881962062294699,Tuesday-Thursday,2,2018,1,13413,99,1474,0,2354.5,61
0.7693464092746036,0.9036496539904703,Tuesday-Thursday,2,2018,1,13562,81,1368,0,2352.0,61
0.7929043269103225,0.9313200296023164,Tuesday-Thursday,2,2018,1,14138,50,1197,0,2350.75,60
0.9327661982791402,1.0955973046312046,Tuesday-Thursday,2,2018,1,15375,45,1091,0,2348.25,60
1.2048495352970827,1.415177678814869,Tuesday-Thursday,2,2018,1,17357,38,1033,0,2340.25,60
1.3266715598277372,1.5582659274743254,Tuesday-Thursday,2,2018,1,18097,40,1074,134,2345.25,60
1.3075705455285056,1.5358304877890447,Tuesday-Thursday,2,2018,1,18191,37,961,830,2347.75,60
1.1660108062219785,1.3695589514547981,Tuesday-Thursday,2,2018,1,18335,43,629,1806,2346.75,60
1.0178718286568273,1.1955596525622885,Tuesday-Thursday,2,2018,1,18418,66,610,2661,2342.25,60
0.9539895475005086,1.1205255709481832,Tuesday-Thursday,2,2018,1,18364,59,617,3053,2350.25,60
0.9467736087652432,1.1120499604004104,Tuesday-Thursday,2,2018,1,18284,42,543,2949,2349.0,60
0.9957995454666042,1.1696342555926307,Tuesday-Thursday,2,2018,1,17814,30,518,2561,2346.5,60
1.0494946189966663,1.2327027693745864,Tuesday-Thursday,2,2018,1,17750,16,528,1802,2348.0,60
1.1407550206485502,1.339894314537594,Tuesday-Thursday,2,2018,1,17493,6,567,778,2348.25,60
1.2778578566185899,1.500930914945275,Tuesday-Thursday,2,2018,1,17646,11,663,41,2347.75,60
