,Yearly Clock (cos),Yearly Clock (sin),Weekly Clock (cos),Weekly Clock (sin),Month,Time,Year,Daytype,Photovoltaics[MWh],Wind onshore[MWh],Wind offshore[MWh],PV + W / Residual Load,COVID,Oil Price
28,0.9997988898451742,0.0200544225635483,0.5037172575905203,0.8638685805175955,2,04:00:00,2018,Thursday,0,4396,1026,0.682527693856999,0.0,68.6
29,0.9997842688418024,0.0207705507019604,0.4711993186854691,0.8820267581373876,2,05:00:00,2018,Thursday,0,4141,1060,0.5800803033682802,0.0,68.6
30,0.9997691348958276,0.0214866681839732,0.4380277623529765,0.8989614448951881,2,06:00:00,2018,Thursday,0,4159,1016,0.4947891767855435,0.0,68.6
32,0.9997373282073916,0.0229188697091811,0.3699086940435636,0.9290681127188604,2,08:00:00,2018,Thursday,17,4256,858,0.386865716655357,0.0,68.6
33,0.9997206554812484,0.0236349530175804,0.335055672462581,0.942198331749026,2,09:00:00,2018,Thursday,441,4077,995,0.4273312146345244,0.0,68.6
34,0.9997034698451394,0.0243510241999895,0.2997378831750242,0.9540215937754006,2,10:00:00,2018,Thursday,1036,4123,945,0.4861033686390061,0.0,68.6
35,0.9996857713078818,0.0250670828890256,0.2640043167495589,0.9645214983283672,2,11:00:00,2018,Thursday,1451,4397,993,0.5711780913417384,0.0,68.6
38,0.9996295983813364,0.0272151803221669,0.154807098178281,0.9879447162435862,2,14:00:00,2018,Thursday,1181,4367,1013,0.5499580888516346,0.0,68.6
39,0.9996098483329188,0.0279311853640155,0.1179108281943187,0.9930241873159636,2,15:00:00,2018,Thursday,697,4023,1011,0.4556006041815724,0.0,68.6
40,0.9995895854313857,0.0286471760756778,0.080850999883475,0.996726199022501,2,16:00:00,2018,Thursday,291,3719,1067,0.3918950212273253,0.0,68.6
41,0.9995688096871324,0.0293631520898123,0.0436790202590482,0.9990456161703576,2,17:00:00,2018,Thursday,8,3931,1066,0.3776788409296709,0.0,68.6
